Tournament,AB_Improved,AB_Custom,AB_Custom_2,AB Custom_3
1,55.7,78.6,77.1,75.7
2,67.1,67.1,71.4,74.3
3,60,71.4,74.3,70
4,65.7,74.3,72.9,81.4
5,62.9,72.9,75.7,64.3
6,55.7,70,71.4,80
7,60,71.4,70,64.3
8,64.3,77.1,74.3,77.1
9,60,77.1,70,74.3
10,65.7,77.1,77.1,74.3
11,60,80,75.7,77.1
12,58.6,84.3,77.1,75.7
13,54.3,78.6,74.3,72.9
14,62.9,74.3,74.3,75.7
15,55.7,75.7,77.1,68.6
16,57.1,74.3,70,75.7
17,68.6,75.7,77.1,80
18,57.1,75.7,77.1,75.7
19,54.3,77.1,74.3,70
20,55.7,74.3,77.1,70
21,55.7,70,70,70
22,62.9,72.9,72.9,75.7
23,55.7,81.4,74.3,70
24,68.6,70,77.1,65.7
25,55.7,74.3,80,74.3
26,58.6,75.7,68.6,78.6
27,58.6,72.9,74.3,80
28,64.3,77.1,75.7,77.1
29,61.4,77.1,72.9,78.6
30,65.7,64.3,71.4,74.3
